response,userId,iteractions
"['american beauty (1999)', 'apollo 13 (1995)', 'goodfellas (1990)', 'amadeus (1984)', 'rain man (1988)', 'fish called wanda, a (1987)', 'sting, the (1973)', 'trading places (1983)', ""one flew over the cuckoo's nest (1975)"", 'right stuff, the (1983)']",23,1
"['platoon (1986)', 'goodfellas (1990)', 'rain man (1988)', 'field of dreams (1989)', 'amadeus (1984)', 'american beauty (1999)', 'leaving las vegas (1995)', 'requiem for a dream (2000)', 'do the right thing (1989)', 'crying game, the (1992)']",24,2
"['titanic (1997)', 'few good men, a (1992)', 'waterworld (1995)', 'true lies (1994)', 'hook (1991)', 'last of the mohicans, the (1992)', 'crimson tide (1995)', 'interview with the vampire (1994)', 'patriot games (1992)', 'enemy of the state (1998)']",25,0
"['jaws (1975)', 'titanic (1997)', 'apollo 13 (1995)', 'singles (1992)', 'leaving las vegas (1995)', 'few good men, a (1992)', 'indecent proposal (1993)', 'interview with the vampire (1994)', 'four weddings and a funeral (1994)', 'philadelphia (1993)']",26,1
"['annie hall (1977)', 'streetcar named desire, a (1951)', 'apartment, the (1960)', 'remains of the day, the (1993)', 'english patient, the (1996)', 'rear window (1954)', 'roman holiday (1953)', 'my fair lady (1964)', 'to kill a mockingbird (1962)', ""hard day's night, a (1964)""]",27,2
"['clueless (1995)', 'pretty woman (1990)', 'roman holiday (1953)', '10 things i hate about you (1999)', 'dirty dancing (1987)', 'never been kissed (1999)', 'pretty in pink (1986)', 'neverending story, the (1984)', 'sleepless in seattle (1993)', 'grease (1978)']",28,2
"['platoon (1986)', 'apocalypse now (1979)', 'predator (1987)', 'indiana jones and the last crusade (1989)', 'red dawn (1984)', 'patriot games (1992)', 'enemy of the state (1998)', 'longest day, the (1962)', 'great escape, the (1963)', 'dirty dozen, the (1967)']",29,2
"['amadeus (1984)', 'seven (1995)', 'donnie brasco (1997)', 'american history x (1998)', 'magnolia (1999)', 'casino (1995)', 'goodfellas (1990)', 'taxi driver (1976)', 'silence of the lambs, the (1991)', 'straight story, the (1999)']",30,5
"['apartment, the (1960)', 'roman holiday (1953)', 'his girl friday (1940)', 'philadelphia story, the (1940)', 'bringing up baby (1938)', 'arsenic and old lace (1944)', 'top hat (1935)', 'lady vanishes, the (1938)']",31,5
"['pulp fiction (1994)', 'reservoir dogs (1992)', 'goodfellas (1990)', 'casino (1995)', ""miller's crossing (1990)"", 'heat (1995)', 'fargo (1996)', 'sling blade (1996)', 'silence of the lambs, the (1991)', 'l.a. confidential (1997)']",32,1
"['amadeus (1984)', 'philadelphia (1993)', 'apollo 13 (1995)', 'english patient, the (1996)', 'home alone (1990)', 'dead poets society (1989)', 'good will hunting (1997)', 'scent of a woman (1992)', 'platoon (1986)', 'terms of endearment (1983)']",33,1
"['apartment, the (1960)', 'trading places (1983)', 'working girl (1988)', 'as good as it gets (1997)', 'sleepless in seattle (1993)', 'four weddings and a funeral (1994)', 'notting hill (1999)', 'while you were sleeping (1995)', 'roman holiday (1953)', 'philadelphia story, the (1940)']",34,2
"['titanic (1997)', 'room with a view, a (1985)', 'thousand acres, a (1997)', 'league of their own, a (1992)', 'sommersby (1993)', 'bridges of madison county, the (1995)', ""razor's edge, the (1984)"", 'piano, the (1993)', 'emma (1996)', 'notting hill (1999)']",35,1
"['klute (1971)', 'manchurian candidate, the (1962)', 'thomas crown affair, the (1968)', 'usual suspects, the (1995)', 'cape fear (1962)', 'american beauty (1999)', 'day the earth stood still, the (1951)', 'taxi driver (1976)', 'platoon (1986)', 'annie hall (1977)']",36,3
"['cocoon (1985)', 'cocoon: the return (1988)', 'princess bride, the (1987)', 'ghost (1990)', 'home alone (1990)', 'singles (1992)', 'indecent proposal (1993)', 'bodyguard, the (1992)', 'pretty woman (1990)', 'mrs. doubtfire (1993)']",37,1
"['few good men, a (1992)', 'dances with wolves (1990)', 'scent of a woman (1992)', 'patriot games (1992)', 'true lies (1994)', 'league of their own, a (1992)', 'philadelphia (1993)', 'forrest gump (1994)', 'singles (1992)', 'four weddings and a funeral (1994)']",38,1
"['meet joe black (1998)', 'true lies (1994)', 'long kiss goodnight, the (1996)', 'city of angels (1997)', 'enemy of the state (1998)', 'hollow man (2000)', 'con air (1997)', 'rock, the (1996)']",39,5
"['tora! tora! tora! (1970)', 'stalag 17 (1953)', 'bridge on the river kwai, the (1957)', 'great escape, the (1963)', 'longest day, the (1962)', ""kelly's heroes (1970)"", 'patton (1970)', 'saving private ryan (1998)']",40,5
"['platoon (1986)', 'terms of endearment (1983)', 'amadeus (1984)', 'places in the heart (1984)', 'dead poets society (1989)', 'rain man (1988)', 'good morning, vietnam (1987)', 'stand by me (1986)', 'dead calm (1989)', 'annie hall (1977)']",42,3
"['crocodile dundee (1986)', 'stargate (1994)', 'ghost in the shell (kokaku kidotai) (1995)', 'doctor dolittle (1967)', 'three musketeers, the (1993)', ""bram stoker's dracula (1992)"", 'buffy the vampire slayer (1992)', 'contact (1997)', 'back to the future part ii (1989)', 'carrie (1976)']",44,0
"['league of their own, a (1992)', 'cocoon (1985)', 'cocoon: the return (1988)', 'working girl (1988)']",45,5
"['nightmare on elm street, a (1984)', 'nightmare on elm street 3: dream warriors, a (1987)', ""child's play (1988)"", 'hellraiser (1987)', 'candyman (1992)', 'candyman: farewell to the flesh (1995)', 'poltergeist (1982)', 'poltergeist ii: the other side (1986)', 'poltergeist iii (1988)', ""nightmare on elm street 2: freddy's revenge, a (1985)""]",46,1
"['jumanji (1995)', 'matilda (1996)', 'mrs. doubtfire (1993)', 'harriet the spy (1996)', 'now and then (1995)', 'blank check (1994)', 'first kid (1996)', 'free willy (1993)', 'home alone (1990)']",48,5
"['speed (1994)', 'few good men, a (1992)', 'lethal weapon 3 (1992)', 'long kiss goodnight, the (1996)', 'patriot games (1992)', 'demolition man (1993)', 'cliffhanger (1993)', 'under siege (1992)', 'bad boys (1995)', 'true lies (1994)']",49,1
"['anna and the king (1999)', 'mission: impossible (1996)', 'donnie brasco (1997)', 'black and white (1999)', ""but i'm a cheerleader (1999)"", 'return to me (2000)', 'children of a lesser god (1986)', 'road to el dorado, the (2000)', 'enemy of the state (1998)', 'wild wild west (1999)']",50,1
"['men in black (1997)', 'star wars: episode i - the phantom menace (1999)', 'matrix, the (1999)']",51,5
"['cliffhanger (1993)', 'true lies (1994)', 'speed (1994)', 'demolition man (1993)', 'long kiss goodnight, the (1996)', 'rock, the (1996)', 'crimson tide (1995)', 'bad boys (1995)', 'under siege 2 - dark force (1995)', 'showgirls (1995)']",52,1
"['singles (1992)', 'few good men, a (1992)', 'philadelphia (1993)', 'leaving las vegas (1995)', 'primal fear (1996)']",53,5
"['annie hall (1977)', 'twelve angry men (1957)', 'my man godfrey (1936)', 'roman holiday (1953)', 'it happened one night (1934)', 'his girl friday (1940)', 'bringing up baby (1938)', 'meet me in st. louis (1944)', 'apartment, the (1960)', 'tom jones (1963)']",54,1
"['apollo 13 (1995)', 'schindlers list (1993)', 'amistad (1997)', 'philadelphia (1993)', 'few good men, a (1992)', 'shawshank redemption, the (1994)', 'pulp fiction (1994)', 'good will hunting (1997)', 'american history x (1998)', 'magnolia (1999)']",56,0
"['x-men (2000)', 'titanic (1997)', 'armageddon (1998)', 'deep blue sea (1999)', 'never been kissed (1999)', 'disturbing behavior (1998)', 'i know what you did last summer (1997)', 'wild wild west (1999)', 'face/off (1997)', 'hollow man (1999)']",57,1
"['robocop (1987)', 'total recall (1990)', 'predator (1987)', 'thing, the (1982)', 'aliens (1986)', 'terminator, the (1984)', 'predator 2 (1990)', 'demolition man (1993)', 'robocop 3 (1993)', 'robocop 2 (1990)']",58,1
"['last picture show, the (1971)', 'paper chase, the (1973)', 'last detail, the (1973)', 'sting, the (1973)']",59,5
"['few good men, a (1992)', 'philadelphia (1993)', 'lethal weapon 3 (1992)', 'client, the (1994)', 'birdcage, the (1996)', 'primal fear (1996)', 'l.a. story (1991)', 'sleepers (1996)', 'in & out (1997)', 'absolute power (1997)']",60,1
"['x-men (2000)', 'american pie (1999)', 'big lebowski, the (1998)', 'austin powers: international man of mystery (1997)', 'liar liar (1997)', 'good will hunting (1997)', 'face/off (1997)', 'pi (1998)', 'meet the deedles (1998)', 'scream (1996)']",61,0
"['roman holiday (1953)', 'streetcar named desire, a (1951)', 'african queen, the (1951)', 'rear window (1954)', ""singin' in the rain (1952)"", 'sabrina (1954)', '12 angry men (1957)', 'dial m for murder (1954)', 'marty (1955)', 'from russia with love (1963)']",62,1
"['superman ii (1980)', 'superman (1978)', 'superman iii (1983)', 'big daddy (1999)', 'batman forever (1995)', 'faculty, the (1998)', 'x-men (2000)', 'existenz (1999)', 'being john malkovich (1999)', 'thin red line, the (1998)']",63,3
"['jaws (1975)', 'titanic (1997)', 'forrest gump (1994)', 'home alone (1990)', 'e.t. the extra-terrestrial (1982)', 'star wars: episode iv - a new hope (1977)', 'princess bride, the (1987)', 'top gun (1986)', 'goonies, the (1985)', 'right stuff, the (1983)']",65,1
"['amadeus (1984)', 'philadelphia (1993)', 'rain man (1988)', 'my left foot (1989)', 'dead poets society (1989)', 'good will hunting (1997)', 'ordinary people (1980)', 'terms of endearment (1983)', 'color purple, the (1985)', ""one flew over the cuckoo's nest (1975)""]",67,1
"['matrix, the (1999)', 'fight club (1999)', 'american history x (1998)', 'donnie brasco (1997)', 'l.a. confidential (1997)', 'seven (1995)', 'reservoir dogs (1992)', 'pulp fiction (1994)', 'big lebowski, the (1998)', 'magnolia (1999)']",68,1
"['amadeus (1984)', 'schindlers list (1993)', 'dead poets society (1989)', 'good will hunting (1997)', 'philadelphia (1993)', ""miller's crossing (1990)"", 'jfk (1991)', 'scent of a woman (1992)', 'requiem for a dream (2000)', ""one flew over the cuckoo's nest (1975)""]",69,3
"['few good men, a (1992)', ""schindler's list (1993)"", 'jfk (1991)', 'apollo 13 (1995)', 'birdcage, the (1996)', 'american history x (1998)', 'good will hunting (1997)', 'my left foot (1989)', 'sting, the (1973)', 'poseidon adventure, the (1972)']",70,1
"['apollo 13 (1995)', 'big (1988)', 'rain man (1988)', 'dead poets society (1989)', 'good will hunting (1997)', ""what's eating gilbert grape (1993)"", 'scent of a woman (1992)', 'dances with wolves (1990)', 'my left foot (1989)', ""one flew over the cuckoo's nest (1975)""]",72,1
"['big trouble in little china (1986)', 'trading places (1983)', 'caddyshack (1980)', 'ghostbusters (1984)', 'police academy (1984)', 'real genius (1985)', 'this is spinal tap (1984)', 'crocodile dundee (1986)', 'good morning, vietnam (1987)', 'spaceballs (1987)']",73,1
"['butch cassidy and the sundance kid (1969)', 'to kill a mockingbird (1962)', 'paper chase, the (1973)', 'american graffiti (1973)', 'cool hand luke (1967)', ""guess who's coming to dinner (1967)"", 'erin brockovich (2000)', 'big lebowski, the (1998)', 'frequency (2000)', 'patriot, the (2000)']",74,1
"['star wars: episode i - the phantom menace (1999)', 'toy story (1995)', 'forrest gump (1994)', 'home alone (1990)', 'ghostbusters (1984)', 'e.t. the extra-terrestrial (1982)', 'honey, i shrunk the kids (1989)', 'harry and the hendersons (1987)', 'honey, i blew up the kid (1992)', 'goonies, the (1985)']",75,1
"['few good men, a (1992)', 'philadelphia (1993)', 'sleepers (1996)', 'amistad (1997)', ""you've got mail (1998)"", 'american beauty (1999)', 'erin brockovich (2000)', 'enemy of the state (1998)', 'glengarry glen ross (1992)', ""schindler's list (1993)""]",76,1
"['american beauty (1999)', 'good will hunting (1997)', 'l.a. confidential (1997)', 'mulholland falls (1996)', 'truman show, the (1998)', 'philadelphia (1993)', 'magnolia (1999)', 'cider house rules, the (1999)', 'rounders (1998)', 'erin brockovich (2000)']",77,2
"['apollo 13 (1995)', 'big (1988)', 'big trouble in little china (1986)', 'raising arizona (1987)', 'working girl (1988)', 'trading places (1983)', 'caddyshack (1980)', 'ghostbusters (1984)', 'dick (1999)', ""wayne's world (1992)""]",78,1
"['superman (1978)', 'superman ii (1980)', 'superman iii (1983)', 'spider-man (2002) is not in your dataset, however, another movie with a similar cast is: spider-man 2 (2004) is not in your dataset, however, another movie with a similar cast is: spider-man 3 (2007) is not in your dataset, however, another movie with a similar cast is: the avengers (2012) is not in your dataset, however, another movie with a similar cast is: superman iii (1983)', 'spider-man (2002) is not in your dataset, however, another movie with a similar cast is: spider-man 2 (2004) is not in your dataset, however, another movie with a similar cast is: spider-man 3 (2007) is not in your dataset, however, another movie with a similar cast is: superman iii (1983)']",79,5
"['few good men, a (1992)', 'sleepless in seattle (1993)', 'free willy (1993)', 'home alone (1990)', 'hook (1991)', 'now and then (1995)', 'jumanji (1995)', 'edward scissorhands (1990)', 'home alone 2: lost in new york (1992)', 'league of their own, a (1992)']",80,1
"['jaws (1975)', 'butch cassidy and the sundance kid (1969)', 'good, the bad and the ugly, the (1966)', 'wild bunch, the (1969)', 'long goodbye, the (1973)', 'once upon a time in the west (1968)', ""miller's crossing (1990)"", 'unforgiven (1992)']",81,5
"['few good men, a (1992)', 'in the line of fire (1994)', 'true lies (1994)', 'game, the (1997)', 'entrapment (1999)', 'face/off (1997)', 'mission: impossible (1996)', 'con air (1997)', 'rock, the (1996)', 'enemy of the state (1998)']",82,1
"['gremlins (1984)', 'poltergeist (1982)', 'ghostbusters (1984)', 'e.t. the extra-terrestrial (1982)', 'stand by me (1986)', 'labyrinth (1986)', 'dark crystal, the (1982)', 'back to the future (1985)', 'cocoon (1985)', 'indiana jones and the last crusade (1989)']",83,1
"['jumanji (1995)', 'predator (1987)', 'total recall (1990)', 'demolition man (1993)', 'big trouble in little china (1986)', 'timecop (1994)', 'death becomes her (1992)', ""we're back! a dinosaur's story (1993)"", 'cliffhanger (1993)', 'true lies (1994)']",84,2
"['x-men (2000)', 'american beauty (1999)', 'exorcist, the (1973)', 'mission: impossible (1996)', 'nutty professor ii: the klumps (2000)', 'good will hunting (1997)', 'face/off (1997)', 'gone in sixty seconds (2000)', 'seven (se7en) (1995)', 'road trip (2000)']",85,2
"['titanic (1997)', 'hook (1991)', 'cape fear (1962)', ""she's all that (1999)"", 'mulan (1998)', 'parent trap, the (1961)', 'vertigo (1958)', 'rear window (1954)', 'forever young (1992)', 'star wars: episode i - the phantom menace (1999)']",86,0
"['in the heat of the night (1967)', 'true lies (1994)', 'face/off (1997)', 'long kiss goodnight, the (1996)', 'patriot games (1992)', 'demolition man (1993)', 'score, the (2001)', 'con air (1997)']",87,5
"['jaws (1975)', 'titanic (1997)', 'schindlers list (1993)', 'braveheart (1995)', 'forrest gump (1994)', 'silence of the lambs, the (1991)', 'american history x (1998)', 'english patient, the (1996)', 'unforgiven (1992)', 'philadelphia (1993)']",88,0
"['bad boys (1995)', 'true lies (1994)', 'shanghai noon (2000)', 'rush hour (1998)', 'wrongfully accused (1998)', 'mafia! (1998)', ""don't be a menace to south central while drinking your juice in the hood (1996)"", 'highlander (1986)', 'airplane ii: the sequel (1982)', 'airplane! (1980)']",90,1
"['caddyshack (1980)', 'trading places (1983)', 'big (1988)', 'parenthood (1989)', 'twins (1988)', 'money pit, the (1986)', 'working girl (1988)', 'good morning, vietnam (1987)']",91,5
"['die hard (1988)', 'predator (1987)', 'cliffhanger (1993)', 'true lies (1994)', 'speed (1994)', 'under siege (1992)', 'demolition man (1993)', 'total recall (1990)', 'die hard 2 (1990)', 'predator 2 (1990)']",92,1
"['cliffhanger (1993)', 'demolition man (1993)', 'tombstone (1993)', 'running man, the (1987)', 'bloodsport 2 (1995)', 'cobra force (1994) (1994)']",93,5
"['pulp fiction (1994)', 'casino (1995)', 'heat (1995)', 'l.a. confidential (1997)', 'jackie brown (1997)', 'magnolia (1999)', 'american history x (1998)', 'rounders (1998)', 'usual suspects, the (1995)', 'do the right thing (1989)']",95,1
"['few good men, a (1992)', ""schindler's list (1993)"", 'jfk (1991)', 'philadelphia (1993)', 'glengarry glen ross (1992)', 'singles (1992)', ""mr. holland's opus (1995)"", 'apollo 13 (1995)', 'amistad (1997)', 'l.a. confidential (1997)']",96,0
"[""it's a wonderful life (1946)"", 'roman holiday (1953)', 'african queen, the (1951)', 'sunset blvd. (1950)', 'bridge on the river kwai, the (1957)', ""singin' in the rain (1952)"", 'king and i, the (1956)', 'rear window (1954)', 'big carnival, the (1951)', 'from here to eternity (1953)']",97,1
"['pulp fiction (1994)', 'goodfellas (1990)', 'reservoir dogs (1992)', 'jackie brown (1997)', 'casino (1995)', 'taxi driver (1976)', 'platoon (1986)', 'american history x (1998)', 'raging bull (1980)', 'do the right thing (1989)']",99,1
"['longest day, the (1962)', 'star trek ii: the wrath of khan (1982)', 'right stuff, the (1983)', 'apollo 13 (1995)', 'star trek: generations (1994)', ""space truckers is not in dataset, but spaceballs (1987) is, so i'll recommend: spaceballs (1987)"", ""top gun: maverick is not in the dataset, but let's recommend: top gun (1986) (1986)"", 'spaceballs (1987)', 'star trek iii: the search for spock (1984)', 'jewel of the nile, the (1985)']",100,2
"['cliffhanger (1993)', 'true lies (1994)', 'demolition man (1993)', 'speed (1994)', 'waterworld (1995)', 'under siege (1992)', 'predator 2 (1990)', 'death wish (1974)', 'death wish ii (1982)', 'rambo: first blood part ii (1985)']",101,5
"['jaws (1975)', 'titanic (1997)', 'taxi driver (1976)', 'godfather, the (1972)', 'e.t. the extra-terrestrial (1982)', 'forrest gump (1994)', ""schindler's list (1993)"", 'shawshank redemption, the (1994)', 'silence of the lambs, the (1991)', 'chinatown (1974)']",102,1
"['last of the high kings, the (1996)', 'broken arrow (1996)', 'true lies (1994)', 'long kiss goodnight, the (1996)', 'speed (1994)', 'under siege (1992)', 'demolition man (1993)', 'hard rain (1998)', 'cliffhanger (1993)', 'tomorrow never dies (1997)']",103,2
"['in & out (1997)', 'mars attacks! (1996)', 'galaxy quest (1999)', 'mulholland falls (1996)', 'object of my affection, the (1998)', 'birdcage, the (1996)', 'player, the (1992)', 'american president, the (1994)', ""bug's life, a (1998)"", 'truman show, the (1998)']",104,0
"[""miller's crossing (1990)"", 'jfk (1991)', 'ronin (1998)', 'untouchables, the (1987)', 'american history x (1998)', 'reservoir dogs (1992)', 'man who would be king, the (1975)', 'abyss, the (1989)', 'midnight run (1988)', 'nighthawks (1981)']",105,1
"['roman holiday (1953)', 'sabrina (1954)', 'rear window (1954)', 'to catch a thief (1955)', 'birds, the (1963)', 'charade (1963)', ""breakfast at tiffany's (1961)"", 'romanoff and juliet (1968)', 'his girl friday (1940)', 'philadelphia story, the (1940)']",106,1
"['last emperor, the (1987)', 'mission: impossible (1996)', 'goldeneye (1995)', 'seven years in tibet (1997)', 'great escape, the (1963)', 'bridge on the river kwai, the (1957)', 'great dictator, the (1940)', 'roman holiday (1953)', 'around the world in 80 days (1956)', 'north by northwest (1959)']",107,0
"['jaws (1975)', 'titanic (1997)', 'forrest gump (1994)', 'pulp fiction (1994)', 'reservoir dogs (1992)', 'taxi driver (1976)', 'platoon (1986)', 'goodfellas (1990)', 'raging bull (1980)', 'amadeus (1984)']",108,0
"['jaws (1975)', 'titanic (1997)', 'forrest gump (1994)', 'pulp fiction (1994)', 'reservoir dogs (1992)', 'taxi driver (1976)', 'platoon (1986)', 'goodfellas (1990)', 'matrix, the (1999)', 'se7en (1995)']",109,0
"['true lies (1994)', 'face/off (1997)', 'demolition man (1993)', 'time to kill, a (1995)', 'few good men, a (1992)', 'lethal weapon (1987)', 'bad boys (1995)', 'speed (1994)', 'lethal weapon 3 (1992)', 'deep blue sea (1999)']",110,2
"['few good men, a (1992)', 'philadelphia (1993)', 'l.a. story (1991)', 'league of their own, a (1992)', ""what's eating gilbert grape (1993)"", 'singles (1992)', 'in & out (1997)', 'showgirls (1995)', 'mask of zorro, the (1998)', 'with honors (1994)']",111,3
"['princess bride, the (1987)', 'mary poppins (1964)', 'wizard of oz, the (1939)', 'meet me in st. louis (1944)', 'roman holiday (1953)', 'rear window (1954)', 'north by northwest (1959)', 'vertigo (1958)', 'sabrina (1954)', 'lady vanishes, the (1938)']",112,4
"['enemy of the state (1998)', 'hollow man (1999)', 'galaxy quest (1999)', 'existenz (1999)', 'mission to mars (2000)', 'deep blue sea (1999)', 'sphere (1998)', 'i know what you did last summer (1997)', 'demolition man (1993)', 'robocop (1987)']",113,2
"['star wars: episode v - the empire strikes back (1980)', 'muppet treasure island (1996)', 'home alone (1990)', 'american tail, an (1986)', 'star wars: episode iv - a new hope (1977)', 'home alone 2: lost in new york (1992)', 'star wars: episode vi - return of the jedi (1983)', 'home alone 3 (1997)', 'honey, i shrunk the kids (1989)', 'honey, i blew up the kid (1992)']",114,1
"['mission: impossible ii (2000)', 'gladiator (2000)', 'american beauty (1999)', 'mission: impossible (1996)', 'matrix, the (1999)', 'true lies (1994)', 'enemy of the state (1998)', 'rock, the (1996)', 'face/off (1997)', 'con air (1997)']",115,1
"['braveheart (1995)', 'goodfellas (1990)', 'reservoir dogs (1992)', 'casino (1995)', 'donnie brasco (1997)', 'heat (1995)', 'platoon (1986)', 'taxi driver (1976)', 'good will hunting (1997)', 'american history x (1998)']",116,0
"['annie hall (1977)', 'amadeus (1984)', 'raging bull (1980)', 'taxi driver (1976)', 'nashville (1975)', ""one flew over the cuckoo's nest (1975)"", 'right stuff, the (1983)', 'deer hunter, the (1978)', 'apocalypse now (1979)', 'annie (1982)']",117,1
"['platoon (1986)', 'good will hunting (1997)', 'dead poets society (1989)', 'few good men, a (1992)', 'stand by me (1986)', 'breakfast club, the (1985)', 'color of money, the (1986)', 'do the right thing (1989)', 'fast times at ridgemont high (1982)', 'trading places (1983)']",118,1
"['aladdin (1992)', 'home alone 2: lost in new york (1992)', 'home alone 3 (1997)', 'matilda (1996)', 'harriet the spy (1996)', 'lion king, the (1994)', 'home alone (1990)', 'parent trap, the (1961)', '101 dalmatians (1961)']",119,5
"['platoon (1986)', 'goodfellas (1990)', 'raging bull (1980)', 'taxi driver (1976)', 'american history x (1998)', ""miller's crossing (1990)"", 'godfather, the (1972)', 'once upon a time in america (1984)', 'casino (1995)', 'do the right thing (1989)']",120,1
"['mars attacks! (1996)', 'starship troopers (1997)', 'total recall (1990)', 'demolition man (1993)', 'thing, the (1982)', 'plan 9 from outer space (1959)', 'day the earth stood still, the (1951)', 'thing from another world, the (1951)', 'men in black (1997)', 'galaxy quest (1999)']",121,3
"['last of the mohicans, the (1992)', 'true lies (1994)', 'demolition man (1993)', 'total recall (1990)', 'speed (1994)', 'face/off (1997)', 'cliffhanger (1993)', 'bad boys (1995)', 'predator 2 (1990)']",122,5
"['few good men, a (1992)', 'philadelphia (1993)', 'dead poets society (1989)', 'league of their own, a (1992)', 'forrest gump (1994)', 'apollo 13 (1995)', ""what's eating gilbert grape (1993)"", 'fisher king, the (1991)', 'pelican brief, the (1993)', 'sleepless in seattle (1993)']",123,0
"['jaws (1975)', 'superman (1978)', 'die hard (1988)', 'few good men, a (1992)', 'braveheart (1995)', 'platoon (1986)', 'rain man (1988)', 'true lies (1994)', 'bridge on the river kwai, the (1957)', 'butch cassidy and the sundance kid (1969)']",125,1
"['pulp fiction (1994)', 'reservoir dogs (1992)', 'goodfellas (1990)', 'casino (1995)', 'taxi driver (1976)', 'platoon (1986)', 'american history x (1998)', 'heat (1995)', 'true romance (1993)', 'raging bull (1980)']",126,1
